Group,Genus,Species,Paper,Authors,Journal,Year,Link,Sex,Experiment_location,Wing Beat Frequency (Hz),WBF,Tethered_Free,Circadian Time,Circadian time when WBF measured,WBF measuring method
Ae. aegypti,Aedes,aegypti,A Novel Methodology For Recording Wing Beat Frequencies of Untethered Male and Female Aedes aegypti,Staunton K.M.; Usher L.; Prachar T.; Ritchie S.A.; Snoad N.; Johnson B.J.,Journal of the American Mosquito Control Association,2019,https://doi.org/10.2987/18-6799.1,Female,Lab,580,580 Hz (±5.1) (n=30) se,Free,12 L: 12 D,,Ultrasonic sensor
Ae. aegypti,Aedes,aegypti,Quantitative analysis of harmonic convergence in mosquito auditory interactions,Aldersley A.; Champneys A.; Homer M.; Robert D.,Journal of the Royal Society Interface,2016,https://doi.org/10.1098/rsif.2015.1007,Male,Lab,691.2,691.2 Hz (±11.1) (SD) (N=27),Tethered,,,
Ae. aegypti,Aedes,aegypti,Quantitative analysis of harmonic convergence in mosquito auditory interactions,Aldersley A.; Champneys A.; Homer M.; Robert D.,Journal of the Royal Society Interface,2016,https://doi.org/10.1098/rsif.2015.1007,Female,Lab,479.8,479.8 Hz (±9.7) (SD) (N=19),Tethered,,,
Ae. aegypti,Aedes,aegypti,Acoustic attraction of male mosquitos in a cage,Ikeshoji T.,Medical Entomology and Zoology,1981,https://doi.org/10.7601/mez.32.7,Male,Lab,820,820 (mean),Tethered,14 L: 10 D,,
Ae. aegypti,Aedes,aegypti,Acoustic attraction of male mosquitos in a cage,Ikeshoji T.,Medical Entomology and Zoology,1981,https://doi.org/10.7601/mez.32.7,Female,Lab,466,466 (mean),Tethered,14 L: 10 D,,
Ae. aegypti,Aedes,aegypti,Correlation of mosquito wing-beat harmonics to aid in species classification and flight heading assessment,Jansson S.; Gebru A.; Ignell R.; Abbott J.; Brydegaard M.,Novel Biophotonics Techniques and Applications V,2019,https://doi.org/10.1117/12.2527224,Male,Lab,905,905 ± 46 sd,Free,,,
Ae. aegypti,Aedes,aegypti,Correlation of mosquito wing-beat harmonics to aid in species classification and flight heading assessment,Jansson S.; Gebru A.; Ignell R.; Abbott J.; Brydegaard M.,Novel Biophotonics Techniques and Applications V,2019,https://doi.org/10.1117/12.2527224,Female,Lab,569,569 ± 95 sd,Free,,,
Ae. aegypti,Aedes,aegypti,"Optical remote sensing for monitoring flying mosquitoes, gender identification and discussion on species identification",Genoud A.P.; Basistyy R.; Williams G.M.; Thomas B.P.,Applied Physics B,2018,https://doi.org/10.1007/s00340-018-6917-x,Male,Lab,628,628 ± 6 (SD= 54),Free,,,optical sensor
Ae. aegypti,Aedes,aegypti,"Optical remote sensing for monitoring flying mosquitoes, gender identification and discussion on species identification",Genoud A.P.; Basistyy R.; Williams G.M.; Thomas B.P.,Applied Physics B,2018,https://doi.org/10.1007/s00340-018-6917-x,Female,Lab,425,425 ± 2 (SD= 24),Free,,,optical sensor
Ae. aegypti,Aedes,aegypti,Courtship duet between the female and the male Aedes aegypti queenslandensis (Theobald) (Diptera: Culicidae) under laboratory conditions,Jamora E.M.; Gines Z.I.; Ceniza C.; Bacabac R.G.; Edillo F.E.,Annals of Tropical Research,2018,https://doi.org/10.32945/atr4022.2018,Male,Lab,824,824 ± 72 Hz (N=30) sd,Tethered,,,
Ae. aegypti,Aedes,aegypti,Courtship duet between the female and the male Aedes aegypti queenslandensis (Theobald) (Diptera: Culicidae) under laboratory conditions,Jamora E.M.; Gines Z.I.; Ceniza C.; Bacabac R.G.; Edillo F.E.,Annals of Tropical Research,2018,https://doi.org/10.32945/atr4022.2018,Female,Lab,570,570 ± 39 Hz (N=30) sd,Tethered,,,
Ae. aegypti,Aedes,aegypti,The Impact of Temperature and Body Size on Fundamental Flight Tone Variation in the Mosquito Vector Aedes aegypti (Diptera: Culicidae): Implications for Acoustic Lures,Villarreal S.M.; Winokur O.; Harrington L.,Journal of Medical Entomology,2017,https://doi.org/10.1093/jme/tjx079,Female,Lab,445,445 ± 30 (SD) (N=10),Free,,,microphone
Ae. aegypti,Aedes,aegypti,The Impact of Temperature and Body Size on Fundamental Flight Tone Variation in the Mosquito Vector Aedes aegypti (Diptera: Culicidae): Implications for Acoustic Lures,Villarreal S.M.; Winokur O.; Harrington L.,Journal of Medical Entomology,2017,https://doi.org/10.1093/jme/tjx079,Female,Lab,495,495 ± 20 (SD) (N=10),Free,,,microphone
Ae. aegypti,Aedes,aegypti,The Impact of Temperature and Body Size on Fundamental Flight Tone Variation in the Mosquito Vector Aedes aegypti (Diptera: Culicidae): Implications for Acoustic Lures,Villarreal S.M.; Winokur O.; Harrington L.,Journal of Medical Entomology,2017,https://doi.org/10.1093/jme/tjx079,Female,Lab,525,525 ± 10 (SD) (N=10),Free,,,microphone
Ae. aegypti,Aedes,aegypti,The Impact of Temperature and Body Size on Fundamental Flight Tone Variation in the Mosquito Vector Aedes aegypti (Diptera: Culicidae): Implications for Acoustic Lures,Villarreal S.M.; Winokur O.; Harrington L.,Journal of Medical Entomology,2017,https://doi.org/10.1093/jme/tjx079,Female,Lab,547,547 ± 25 (SD) (N=10),Free,,,microphone
Ae. aegypti,Aedes,aegypti,In tune with nature: Wolbachia does not prevent pre-copula acoustic communication in Aedes aegypti,Gesto J.S.M.; Araki A.S.; Caragata E.P.; de Oliveira C.D.; Martins A.J.; Bruno R.V.; Moreira L.A.,Parasites & Vectors,2018,https://doi.org/10.1186/s13071-018-2695-x,Male,Lab,697.6,697.6 ± 7.3 Hz mean ± SEM,Tethered,,,
Ae. aegypti,Aedes,aegypti,In tune with nature: Wolbachia does not prevent pre-copula acoustic communication in Aedes aegypti,Gesto J.S.M.; Araki A.S.; Caragata E.P.; de Oliveira C.D.; Martins A.J.; Bruno R.V.; Moreira L.A.,Parasites & Vectors,2018,https://doi.org/10.1186/s13071-018-2695-x,Female,Lab,513.7,513.7 ± 5 Hz  mean ± SEM,Tethered,,,
Ae. aegypti,Aedes,aegypti,The Sounds of Disease-Carrying Mosquitoes,Offenhauser W.; Kahn M.C.,Journal of the Acoustical Society of America,1949,https://doi.org/10.1121/1.1917085,Male,Field,800,800,Free ,,,
Ae. aegypti,Aedes,aegypti,The Sounds of Disease-Carrying Mosquitoes,Offenhauser W.; Kahn M.C.,Journal of the Acoustical Society of America,1949,https://doi.org/10.1121/1.1917085,Female,Field,730,730,Free ,,,
Ae. aegypti,Aedes,aegypti,Time-frequency composition of mosquito flight tones obtained using Hilbert spectral analysis,Aldersley A.; Champneys A.; Homer M.; Robert D.,Journal of the Acoustical Society of America,2014,https://doi.org/10.1121/1.4895689,Male,Lab,691.1,"691.1 ±  90.4 Hz (SD, N=27)",Tethered,,,
Ae. aegypti,Aedes,aegypti,Time-frequency composition of mosquito flight tones obtained using Hilbert spectral analysis,Aldersley A.; Champneys A.; Homer M.; Robert D.,Journal of the Acoustical Society of America,2014,https://doi.org/10.1121/1.4895689,Female,Lab,480.6,"480.6 ±  32.5 Hz (SD, N=19)",Tethered,,,
Ae. aegypti,Aedes,aegypti,Differences in Male Mating Response and Female Flight Sounds in Aedes aegypti and Ae. albopictus,Duhrkopf R.E.; Hartberg W.K.,Journal of Medical Entomology,1992,https://doi.org/10.1093/jmedent/29.5.796.,Female,Lab,460,460 (n=6),Free,,,
Ae. aegypti,Aedes,aegypti,Free flight of the mosquito Aedes aegypti,Iams S.M.,arXiv,2012,https://doi.org/10.48550/arXiv.1205.5260,Male,Lab,850,850,Free,,,
Ae. aegypti,Aedes,aegypti,Using mobile phones as acoustic sensors for high-throughput mosquito surveillance,Mukundarajan H.; Hol F.J.H.; Castillo E.A.; Newby C.; Prakash M.,eLife,2017,https://doi.org/10.7554/eLife.27854,Female,Lab,540,"540 (median), IQR = 510-575, N=3190",Free,,,
Ae. aegypti,Aedes,aegypti,Infrared light sensors permit rapid recording of wingbeat frequency and bioacoustic species identification of mosquitoes,Kim D.; DeBriere T.J.; Cherukumalli S.; White G.S.; Burkett-Cadena N.D.,Scientific Reports,2021,https://doi.org/10.1038/s41598-021-89644-z,Female,Lab,498.08,"498.08 ± 1.00 (SE) (34.19, SD), N=509",Free,,,
Ae. aegypti,Aedes,aegypti,Effects of Environmental and Physiological Factors on the Acoustic Behavior of Aedes aegypti (L.) (Diptera: Culicidae),Costello R.A.,Thesis,1974,https://summit.sfu.ca/item/3357,Female,Lab,475,"475 ± 5 (SE), N=10",Free,,,microphone
Ae. aegypti,Aedes,aegypti,Effects of Environmental and Physiological Factors on the Acoustic Behavior of Aedes aegypti (L.) (Diptera: Culicidae),Costello R.A.,Thesis,1974,https://summit.sfu.ca/item/3357,Female,Lab,495,"495 ± 5 (SE), N=10",Free,,,microphone
Ae. aegypti,Aedes,aegypti,Effects of Environmental and Physiological Factors on the Acoustic Behavior of Aedes aegypti (L.) (Diptera: Culicidae),Costello R.A.,Thesis,1974,https://summit.sfu.ca/item/3357,Female,Lab,510,"510 ± 3 (SE), N=10",Free,,,microphone
Ae. aegypti,Aedes,aegypti,Effects of Environmental and Physiological Factors on the Acoustic Behavior of Aedes aegypti (L.) (Diptera: Culicidae),Costello R.A.,Thesis,1974,https://summit.sfu.ca/item/3357,Female,Lab,530,"530 ± 5 (SE), N=10",Free,,,microphone
Ae. aegypti,Aedes,aegypti,Effects of Environmental and Physiological Factors on the Acoustic Behavior of Aedes aegypti (L.) (Diptera: Culicidae),Costello R.A.,Thesis,1974,https://summit.sfu.ca/item/3357,Female,Lab,550,"550 ± 3 (SE), N=10",Free,,,microphone
Ae. aegypti,Aedes,aegypti,Effects of Environmental and Physiological Factors on the Acoustic Behavior of Aedes aegypti (L.) (Diptera: Culicidae),Costello R.A.,Thesis,1974,https://summit.sfu.ca/item/3357,Female,Lab,570,"570 ± 5 (SE), N=10",Free,,,microphone
Ae. aegypti,Aedes,aegypti,"Evaluation of a novel sensor system integrated into a mosquito trap to determine mosquito species, age and sex",Casanovas J.B.,Thesis,2018,https://core.ac.uk/outputs/224835216,Male,Lab,696.99659,"696.99659 (mean), N=520",Free,12 L: 12 D,,optoelectronic sensor prototype
Ae. aegypti,Aedes,aegypti,"Evaluation of a novel sensor system integrated into a mosquito trap to determine mosquito species, age and sex",Casanovas J.B.,Thesis,2018,https://core.ac.uk/outputs/224835216,Female,Lab,508.986023,"508.986023 (mean), N=442",Free,12 L: 12 D,,optoelectronic sensor prototype
Ae. aegypti,Aedes,aegypti,From the exploration of mosquito bioacoustics towards the development of novel approaches of surveillance and control,Pantoja-Sánchez H.E.,Thesis,2019,https://bibliotecadigital.udea.edu.co/handle/10495/14443,Male,Lab,684.27,684.27 ± 52.39 (n=150) mean ± SEM,Tethered,12 L: 12 D,,one particle velocity microphone 
Ae. aegypti,Aedes,aegypti,From the exploration of mosquito bioacoustics towards the development of novel approaches of surveillance and control,Pantoja-Sánchez H.E.,Thesis,2019,https://bibliotecadigital.udea.edu.co/handle/10495/14443,Female,Lab,500.63,500.63 ± 40.65 (n=150) mean ± SEM,Tethered,12 L: 12 D,,one particle velocity microphone 
Ae. aegypti,Aedes,aegypti,From the exploration of mosquito bioacoustics towards the development of novel approaches of surveillance and control,Pantoja-Sánchez H.E.,Thesis,2019,https://bibliotecadigital.udea.edu.co/handle/10495/14443,Male,Lab,751,751.00 ± 50.59 (n=30) mean ± SEM,Free,12 L: 12 D,,four electret microphones 
Ae. aegypti,Aedes,aegypti,From the exploration of mosquito bioacoustics towards the development of novel approaches of surveillance and control,Pantoja-Sánchez H.E.,Thesis,2019,https://bibliotecadigital.udea.edu.co/handle/10495/14443,Female,Lab,567.1,567.10 ± 58.96 (n=30) mean ± SEM,Free,12 L: 12 D,,four electret microphones 
Ae. aegypti,Aedes,aegypti,LOCOMOBIS: A low-cost acoustic-based sensing system to monitor and classify mosquitoes,Vasconcelos D.; Nunes N.J.; Ribeiro M.; Prandi C.; Rogers A.,2019 16th IEEE Annual Consumer Communications & Networking Conference (CCNC),2019,https://doi.org/10.1109/CCNC.2019.8651767,Male,Lab,885,"median: 885 Hz (Q1: 861, Q3: 922) (n=12)",Free,,,microphone (acoustic sensor)
Ae. aegypti,Aedes,aegypti,LOCOMOBIS: A low-cost acoustic-based sensing system to monitor and classify mosquitoes,Vasconcelos D.; Nunes N.J.; Ribeiro M.; Prandi C.; Rogers A.,2019 16th IEEE Annual Consumer Communications & Networking Conference (CCNC),2019,https://doi.org/10.1109/CCNC.2019.8651767,Female,Lab,580,"median: 580 Hz (Q1: 550, Q3: 590) (n=12)",Free,,,microphone (acoustic sensor)
Ae. aegypti,Aedes,aegypti,The Harmonic Convergence of Fathers Predicts the Mating Success of Sons in Aedes aegypti,Cator L.J.; Harrington L.C.,Animal Behavior,2011,https://doi.org/10.1016/j.anbehav.2011.07.013.,Male,Lab,711.98,711.98 Hz ± 13.82 (SE) (n=141),Tethered,14 L: 10 D,0600-1800,
Ae. aegypti,Aedes,aegypti,Automated identification of flying insects by analysis of wingbeat frequencies,Moore A.; Miller J.R.; Tabashnik B.E.; Gage S.H.,Journal of Economic Entomology,1986,https://doi.org/10.1093/jee/79.6.1703,Male,Lab,750,750 ± 47 Hz,Free,,,light sensor
Ae. aegypti,Aedes,aegypti,Automated identification of flying insects by analysis of wingbeat frequencies,Moore A.; Miller J.R.; Tabashnik B.E.; Gage S.H.,Journal of Economic Entomology,1986,https://doi.org/10.1093/jee/79.6.1703,Female,Lab,508,508 ± 66 Hz,Free,,,light sensor
Ae. aegypti,Aedes,aegypti,Fluggeräusch und schallwahrnehmung bei Aedes aegypti L.(Culicidae),Tischner H.; Schief A.,Zoologischer Anzeiger,1955,,Male,Lab,578.5,557-600,Free,,,
Ae. aegypti,Aedes,aegypti,Fluggeräusch und schallwahrnehmung bei Aedes aegypti L.(Culicidae),Tischner H.; Schief A.,Zoologischer Anzeiger,1955,,Female,Lab,433.5,414-453,Free,,,
Ae. aegypti,Aedes,aegypti,Multiband modulation spectroscopy for the determination of sex and species of mosquitoes in flight,Gebru A.; Jansson S.; Ignell R.; Kirkeby C.; Prangsma J.C.; Brydegaard M.,Journal of Biophotonics,2018,https://doi.org/10.1002/jbio.201800014,Male,Lab,899,"Median: 899, IQR = 59.7 (N=2159)",Free,12 L: 12 D,,optical sensor
Ae. aegypti,Aedes,aegypti,Multiband modulation spectroscopy for the determination of sex and species of mosquitoes in flight,Gebru A.; Jansson S.; Ignell R.; Kirkeby C.; Prangsma J.C.; Brydegaard M.,Journal of Biophotonics,2018,https://doi.org/10.1002/jbio.201800014,Female,Lab,637,"Median: 637, IQR = 82.6 (N=377)",Free,12 L: 12 D,,optical sensor
Ae. aegypti,Aedes,aegypti,A new approach to improve acoustic trapping effectiveness for Aedes aegypti (Diptera: Culicidae),Pantoja-Sánchez H.; Vargas J.F.; Ruiz-López F.; Rúa-Uribe G.; Vélez V.; Kline D.L.; Bernal X.E.,Journal of Vector Ecology,2019,https://doi.org/10.1111/jvec.12352,Female,Lab,483.97,483.97 ± 5.22 [mean ± SEM] (N=80),Tethered,,,
Ae. aegypti,Aedes,aegypti,Emergent acoustic order in arrays of mosquitoes.,Aldersley A.; Champneys A.; Homer M.; Bode N.W.F.; Robert D.,Current Biology,2017,https://doi.org/10.1016/j.cub.2017.09.055,Male,Lab,681.1,Mean 681.1,Tethered,16L:8D,ZT12-ZT16,"microphone (FG-23329-C05, Knowles Electronics, Itasca, IL, USA)"
Ae. aegypti,Aedes,aegypti,Effect of age on wingbeat frequency of Aedes aegypti and potential application for age estimation of mosquitoes,Park D.; Bowles J.; Norrid K.; Dobson F.S.; Abebe A.; Narayanan H.V.; Prakash M.; Blagburn B.; Starkey L.; Zohdy S.,Medical and Vetinary Entomology,2023,https://doi.org/10.1111/mve.12647,Female,Lab,475,475.0 Hz (±65.7 Hz) for Freshly emerged,Free,15L:9D,ZT10,iPhone Voice Memo app
Ae. aegypti,Aedes,aegypti,Effect of age on wingbeat frequency of Aedes aegypti and potential application for age estimation of mosquitoes,Park D.; Bowles J.; Norrid K.; Dobson F.S.; Abebe A.; Narayanan H.V.; Prakash M.; Blagburn B.; Starkey L.; Zohdy S.,Medical and Vetinary Entomology,2023,https://doi.org/10.1111/mve.12647,Female,Lab,545,545.0 Hz (±32.2 Hz) for Non-Blood Fed,Free,15L:9D,ZT10,iPhone Voice Memo app
Ae. aegypti,Aedes,aegypti,Effect of age on wingbeat frequency of Aedes aegypti and potential application for age estimation of mosquitoes,Park D.; Bowles J.; Norrid K.; Dobson F.S.; Abebe A.; Narayanan H.V.; Prakash M.; Blagburn B.; Starkey L.; Zohdy S.,Medical and Vetinary Entomology,2023,https://doi.org/10.1111/mve.12647,Female,Lab,535,535.0 Hz (±39.0 Hz) for Digestion,Free,15L:9D,ZT10,iPhone Voice Memo app
Ae. aegypti,Aedes,aegypti,Effect of age on wingbeat frequency of Aedes aegypti and potential application for age estimation of mosquitoes,Park D.; Bowles J.; Norrid K.; Dobson F.S.; Abebe A.; Narayanan H.V.; Prakash M.; Blagburn B.; Starkey L.; Zohdy S.,Medical and Vetinary Entomology,2023,https://doi.org/10.1111/mve.12647,Female,Lab,550,550.0 Hz (±45.2 Hz) for Ovipositioning,Free,15L:9D,ZT10,iPhone Voice Memo app
Ae. aegypti,Aedes,aegypti,Effect of age on wingbeat frequency of Aedes aegypti and potential application for age estimation of mosquitoes,Park D.; Bowles J.; Norrid K.; Dobson F.S.; Abebe A.; Narayanan H.V.; Prakash M.; Blagburn B.; Starkey L.; Zohdy S.,Medical and Vetinary Entomology,2023,https://doi.org/10.1111/mve.12647,Female,Lab,542,542.0 Hz (±46.7 Hz) for Parous,Free,15L:9D,ZT10,iPhone Voice Memo app
Ae. aegypti,Aedes,aegypti,Effect of age on wingbeat frequency of Aedes aegypti and potential application for age estimation of mosquitoes,Park D.; Bowles J.; Norrid K.; Dobson F.S.; Abebe A.; Narayanan H.V.; Prakash M.; Blagburn B.; Starkey L.; Zohdy S.,Medical and Vetinary Entomology,2023,https://doi.org/10.1111/mve.12647,Male,Lab,757,757.0 Hz (± 82.5 Hz) for Week 1,Free,15L:9D,ZT10,iPhone Voice Memo app
Ae. aegypti,Aedes,aegypti,Effect of age on wingbeat frequency of Aedes aegypti and potential application for age estimation of mosquitoes,Park D.; Bowles J.; Norrid K.; Dobson F.S.; Abebe A.; Narayanan H.V.; Prakash M.; Blagburn B.; Starkey L.; Zohdy S.,Medical and Vetinary Entomology,2023,https://doi.org/10.1111/mve.12647,Male,Lab,850,850.0 Hz (± 62.7 Hz) for Week 2,Free,15L:9D,ZT10,iPhone Voice Memo app
Ae. aegypti,Aedes,aegypti,Effect of age on wingbeat frequency of Aedes aegypti and potential application for age estimation of mosquitoes,Park D.; Bowles J.; Norrid K.; Dobson F.S.; Abebe A.; Narayanan H.V.; Prakash M.; Blagburn B.; Starkey L.; Zohdy S.,Medical and Vetinary Entomology,2023,https://doi.org/10.1111/mve.12647,Male,Lab,874,874.0 Hz (± 65.7 Hz) for Week 3,Free,15L:9D,ZT10,iPhone Voice Memo app
Ae. aegypti,Aedes,aegypti,Effect of age on wingbeat frequency of Aedes aegypti and potential application for age estimation of mosquitoes,Park D.; Bowles J.; Norrid K.; Dobson F.S.; Abebe A.; Narayanan H.V.; Prakash M.; Blagburn B.; Starkey L.; Zohdy S.,Medical and Vetinary Entomology,2023,https://doi.org/10.1111/mve.12647,Male,Lab,896,896.0 Hz (± 66.3 Hz) for Week 4 ,Free,15L:9D,ZT10,iPhone Voice Memo app
Ae. aegypti,Aedes,aegypti,The impact of body size on Aedes [Stegomyia] aegypti wingbeat frequency: implications for mosquito identification,de Nadai B.L.; Maletzke A.G.; Corbi J.J.; Batista G.E.A.P.A.; Reiskind M.H.,Medical and Vetinary Entomology,2021,https://doi.org/10.1111/mve.12540,Female,Lab,586.24,"Mean 586.24, SD = 31.87 (high density)",Free,14 L: 10 D,,optical sensor
Ae. aegypti,Aedes,aegypti,The impact of body size on Aedes [Stegomyia] aegypti wingbeat frequency: implications for mosquito identification,de Nadai B.L.; Maletzke A.G.; Corbi J.J.; Batista G.E.A.P.A.; Reiskind M.H.,Medical and Vetinary Entomology,2021,https://doi.org/10.1111/mve.12540,Female,Lab,520.22,"Mean 520.22, SD = 24.29 (low density)",Free,14 L: 10 D,,optical sensor
Ae. aegypti,Aedes,aegypti,The impact of body size on Aedes [Stegomyia] aegypti wingbeat frequency: implications for mosquito identification,de Nadai B.L.; Maletzke A.G.; Corbi J.J.; Batista G.E.A.P.A.; Reiskind M.H.,Medical and Vetinary Entomology,2021,https://doi.org/10.1111/mve.12540,Female,Lab,493.85,Mean = 493.849 (low density),Free,14 L: 10 D,,optical sensor
Ae. aegypti,Aedes,aegypti,The impact of body size on Aedes [Stegomyia] aegypti wingbeat frequency: implications for mosquito identification,de Nadai B.L.; Maletzke A.G.; Corbi J.J.; Batista G.E.A.P.A.; Reiskind M.H.,Medical and Vetinary Entomology,2021,https://doi.org/10.1111/mve.12540,Female,Lab,533.162,Mean = 533.162 (high density),Free,14 L: 10 D,,optical sensor
Ae. aegypti,Aedes,aegypti,The impact of body size on Aedes [Stegomyia] aegypti wingbeat frequency: implications for mosquito identification,de Nadai B.L.; Maletzke A.G.; Corbi J.J.; Batista G.E.A.P.A.; Reiskind M.H.,Medical and Vetinary Entomology,2021,https://doi.org/10.1111/mve.12540,Female,Lab,550.036,Mean = 550.036 (low density),Free,14 L: 10 D,,optical sensor
Ae. aegypti,Aedes,aegypti,The impact of body size on Aedes [Stegomyia] aegypti wingbeat frequency: implications for mosquito identification,de Nadai B.L.; Maletzke A.G.; Corbi J.J.; Batista G.E.A.P.A.; Reiskind M.H.,Medical and Vetinary Entomology,2021,https://doi.org/10.1111/mve.12540,Female,Lab,589.349,Mean = 589.349 (high density),Free,14 L: 10 D,,optical sensor
Ae. aegypti,Aedes,aegypti,The impact of body size on Aedes [Stegomyia] aegypti wingbeat frequency: implications for mosquito identification,de Nadai B.L.; Maletzke A.G.; Corbi J.J.; Batista G.E.A.P.A.; Reiskind M.H.,Medical and Vetinary Entomology,2021,https://doi.org/10.1111/mve.12540,Female,Lab,605.548,Mean = 605.548 (low density),Free,14 L: 10 D,,optical sensor
