Group,Genus,Species,Paper,Authors,Journal,Year,Link,Sex,Experiment_location,Stimuli_type,Frequency,Amplitude,Stimulus_duration,Scoring_method,Trap_brand,Control_used,Response,Number_of_replicate,No_of_indiv_per_replicate,Group_Individual,Rearing_temperature,Experimental_time,Circadian_LD_entrainment_cycle,Age,Mating_status,Size_Larval_Density
Ae. aegypti,Aedes,aegypti,Effects of Environmental and Physiological Factors on the Acoustic Behavior of Aedes aegypti (L.) (Diptera: Culicidae),Costello R.A.,Thesis,1974,https://summit.sfu.ca/item/3357,Male,Lab,Pure tone,"350, 400, 450, 500, 550, 600, 650, 475, 525",65 dB,5s/ tone,Attraction,sound trap,-,"3.3, 3.2, 1.4, 1.3, 1.3, 0.7, 0.9, 12, 8.2",35,"25, 100",Group,26,-,-,0,Virgin,NA
Ae. aegypti,Aedes,aegypti,Flight Responses to Various Sounds by Adult Males of Aedes aegypti (L.) (Diptera: Culicidae),Wishart G.; Riordan D.F.,The Canadian Entomologist,1959,https://doi.org/10.4039/Ent91181-3,Male,Lab,Pure tone,300 - 800 (50Hz steps),75 dB,5 seconds,Attraction,vacuum,-,"300 Hz: 7, 350: 16.8, 400: 6.7, 450: 3.0, 500: 1.5, 550: 0.9, 600: 1.5, 650: 0.4, 700: 0, 750: 0.4, 800: 0.4",2,60,Group,23-24,-,-,1,Virgin,NA
Ae. aegypti,Aedes,aegypti,Investigating Male Aedes aegypti (Diptera: Culicidae) Attraction to Different Oviposition Containers Using Various Configurations of the Sound Gravid Aedes Trap,Staunton K.M.; Rohde B.B.; Townsend M.; Jianyi Liu J.; Desnoyer M.; Howell P.; Amos B.; Crawford J.; Snoad N.; Ritchie S.A.,Journal of Medical Entomology,2020,https://doi.org/10.1093/jme/tjz229,Male,Field,Pure tone,500,60 dB ,"30s on/off, turned off at night",Attraction,sound-baited GAT trap,-,2 ± 0.7 males/week (Mean ± SEM),30,-,,-,-,,,,
Ae. aegypti,Aedes,aegypti,Outcomes from international field trials with Male Aedes Sound Traps: Frequency-dependent effectiveness in capturing target species in relation to bycatch abundance,Staunton K.M.; Leiva D.; Cruz A.; Goi J.; Arisqueta C.; Liu J.; Desnoyer M.; Howell P.; Espinosa F.; Mendoza A.C.; Karl S.; Crawford J.E.; Xiang W.; Manrique-Saide P.; Achee N.L.; Grieco J.P.; Ritchie S.A.; Burkot T.R.; Snoad N.,PLoS Neglected Tropical Diseases,2021,https://doi.org/10.1371/journal.pntd.0009061,Male,Field,Pure tone,"450, 500, 550, 600",60 dB (trap entrance),30s on/off continuously,Attraction,MAST sticky trap,BGS trap without sound,"450Hz: 28.1%, 500Hz: 24.7%, 550Hz: 29.2%, 600Hz: 18.0% (total-male mosquitoes caught MAST: 1602) (grouped from all locations)",-,-,,-,24 hrs,,,,
Ae. aegypti,Aedes,aegypti,Serotonin modulation in the male Aedes aegypti ear influences hearing,Xu Y.Y.J.; Loh Y.M.; Lee T.T.; Ohashi T.S.; Su M.P.; Kamikouchi A.,Frontiers in Physiology,2022,https://doi.org/10.3389/fphys.2022.931567,Male,Lab,Pure tone,"350, 375, 400, 425, 450, 475, 500, 525, 550, 575, 600, 625, 650, 675, 700, 725, 750",70 dB,1 min tone on/tone off,Attraction,speaker with sound playback,-,"Median normalised response: 350 Hz (0), 375 Hz (0), 400 Hz (0), 425 Hz (0.11), 450 Hz (0.14), 475 Hz (0.23), 500 Hz (0.45), 525 Hz (1.00), 550 Hz (0.56), 575 Hz (0.39), 600 Hz (0.41), 625 Hz (0.77), 650 Hz (0.31), 675 Hz (0.35), 700 Hz (0.08), 725 Hz (0.04), 750 Hz (0.01)",10,30,Group,28 °C,ZT 12.5,13 l: 11 D,4,Virgin,NA
Ae. aegypti,Aedes,aegypti,The siren's song: exploitation of female flight tones to passively capture male Aedes aegypti (diptera: culicidae),Johnson B.J.; Ritchie S.A.,Journal of Medical Entomology,2016,https://doi.org/10.1093/jme/tjv165,Male,Field,Pure tone,484,70 dB,24 hrs,Attraction,sound-baited GAT trap + hay infusion,trap with speaker but no sound played,1.3 ± 0.37 (males),10,-,,-,-,,,,
Ae. aegypti,Aedes,aegypti,The siren's song: exploitation of female flight tones to passively capture male Aedes aegypti (diptera: culicidae),Johnson B.J.; Ritchie S.A.,Journal of Medical Entomology,2016,https://doi.org/10.1093/jme/tjv165,Male,Semi-field,Pure tone,"484, 560, 715",60-65 dB,"30min, 2 hrs",Attraction,sound-baited GAT trap + hay infusion,trap with speaker but no sound played,"2 hours 484 Hz: 97.3 ± 2.3%, 560 Hz: 63.3 ± 12.3%, 715 Hz: 5.2 ± 1.2%; 30 min 484 Hz: 53.5 ± 16.3%, 560 Hz: 30 ± 15 %, 715 Hz: 18 ± 15 %, 48hrs 1.2 ± 0.17",2,"30, 1000",,-,-,-,,,
Ae. aegypti,Aedes,aegypti,"Waterproof, low-cost, long-battery-life sound trap for surveillance of male Aedes aegypti for rear-and-release mosquito control programmes",Rohde B.B.; Staunton K.M.; Zeak N.C.; Beebe N.; Snoad N.; Bondarenco A.; Liddington C.; Anderson J.A.; Xiang W.; Mankin R.W.; Ritchie S.A.,Parasites & Vectors,2019,https://doi.org/10.1186/s13071-019-3647-9,Male,Semi-field,Pure tone,484,-,30 minutes of 30s on/off cycles of stimulus,Attraction,modified version of sound-baited GAT trap,-,0.5,10,30,,28,-,12 L: 12 D,,,
Ae. aegypti,Aedes,aegypti,Wingbeat Frequency-Sweep and Visual Stimuli for Trapping Male Aedes aegypti (Diptera: Culicidae).,Jakhete S.S.; Allan S.A.; Mankin R.W.,Journal of Medical Entomology,2017,https://doi.org/10.1093/jme/tjx074,Male,Lab,Frequency sweep,350-500,"87.5 - 92.5 dB (1.5 cm in front of speaker), 70-74 dB (10 cm in front of speaker)","frequency sweep chirp: ±  1.2 Hz/0.1 s over a 25 s loop (step up/ down) , 484 pure sine tone: continuous playing (1 hr of experiment)",Attraction,"sound-baited, CDC miniature light trap",trap emitting 484 pure tone,71 ±  4 %,7,100-200,Group,,4–10.5 h after beginning of photophase,14 L:10 D,,,
Ae. albopictus,Aedes,albopictus,A sound trap for Aedes albopictus (Skuse) male surveillance:Response analysis to acoustic and visual stimuli,Balestrino F.; Iyaloo D.P.; Elahee K.B.; Bheecarry A.; Campedelli F.; Carrieri M.; Bellini R.,Acta Tropica,2016,https://doi.org/10.1016/j.actatropica.2016.09.002,Male,Field,Frequency sweep,"500-650, 545, 600 ,649",75-59 dB,continuous sound emission for 4 days with data collection every day,Attraction,trap + odour lure,"trap without sound but with odour lure (BG SentinelTM lure), white tubes with no sound emission","14.04–23.37 males captured/day, 5.96, 545 (mean 2.88, 95% CIs 2.10–3.85), 600 (mean 2.85, 95% CIs 1.89–4.12), 649 (mean 1.93, 95% CIs 1.25–2.83)",1,-,,27 ± 1,-,,,,
Ae. albopictus,Aedes,albopictus,Acoustic attraction of male mosquitos in a cage,Ikeshoji T.,Medical Entomology and Zoology,1981,https://doi.org/10.7601/mez.32.7,Male,Lab,Pure tone,462,10 dB ,"15 mins sounding, 48 times/day for 4-5 days",Attraction,sound trap,,1.9 % of males relative to females were left in the cage after 4-5 days of acoustic extraction,100,,Group,25,-,14 L:10 D,,,
Ae. albopictus,Aedes,albopictus,Comparative attractancy of physical and chemical stimuli to aedine mosquitoes,Kusakabe Y.; Ikeshoji T.,Medical Entomology and Zoology,1990,https://doi.org/10.7601/mez.41.219,Male,Field,Pure tone,400,-,5s on/off (10 mins),Attraction,sound trap + black sheet,-,7 male/day,5,-,,-,0700-2000,,,,
Ae. albopictus,Aedes,albopictus,Effect of BG-Lures on the Male Aedes (Diptera: Culicidae) Sound Trap Capture Rates,Staunton K.M.; Goi J.; Townsend M.; Ritchie S.A.; Crawford J.E.; Snoad N.; Karl S.; Burkot T.R.,Journal of Medical Entomology,2021,https://doi.org/10.1093/jme/tjab121,Male,Field,Pure tone,550 Hz,60 dB at trap entrance,"30 s on-off throughout the day, for three months",Attraction,"MAST sticky trap, MAST spray trap",-,172 males,24,,,,,,,,
Ae. albopictus,Aedes,albopictus,Field catching of mosquitoes with various types of sound traps,Ikeshoji T.; Ogawa K.,Medical Entomology and Zoology,1988,https://doi.org/10.7601/mez.39.119,Male,Field,Pure tone,"400, 900",90 dB (1 cm away from speaker),20 mins continuous stimulus,Attraction,sound trap,-,"5.5 males/day, 0.3 males/day",8,-,,-,17:00 - 18:00 (dusk),,,,
Ae. albopictus,Aedes,albopictus,Impact of insecticide-treated sound traps on Aedes albopictus population,Ikeshoji T.; Yap H.H.,Japanese Journal of Sanitary Zoology,1990,https://doi.org/10.7601/mez.41.213,Male,Field,Pure tone,400,-,5s on/off,Attraction,sound trap + black sheet,-,1.83 male/day,4,-,,-,1630-1650,,,,
Ae. albopictus,Aedes,albopictus,Outcomes from international field trials with Male Aedes Sound Traps: Frequency-dependent effectiveness in capturing target species in relation to bycatch abundance,Staunton K.M.; Leiva D.; Cruz A.; Goi J.; Arisqueta C.; Liu J.; Desnoyer M.; Howell P.; Espinosa F.; Mendoza A.C.; Karl S.; Crawford J.E.; Xiang W.; Manrique-Saide P.; Achee N.L.; Grieco J.P.; Ritchie S.A.; Burkot T.R.; Snoad N.,PLoS Neglected Tropical Diseases,2021,https://doi.org/10.1371/journal.pntd.0009061,Male,Field,Pure tone,"450, 500, 550, 600",60 dB (trap entrance),30s on/off continuously,Attraction,MAST sticky trap,BGS trap without sound,"450Hz: 8.14%, 500Hz: 29.1%, 550Hz: 38.9%, 600Hz: 23.9% (total-male mosquitoes caught MAST: 540) (grouped from all locations)",-,-,,-,24 hrs,,,,
Ae. albopictus,Aedes,albopictus,The Effect of Sound Lure Frequency and Habitat Type on Male Aedes albopictus (Diptera: Culicidae) Capture Rates With the Male Aedes Sound Trap,Swan T.; Russell T.L.; Burkot T.R.; Liu J.; Ritchie S.A.; Staunton K.M.,Journal of Medical Entomology,2021,https://doi.org/10.1093/jme/tjaa242,Male,Field,Pure tone,"450, 500, 550, 600, 650, 700",70 dB,30s on/off for whole day,Attraction,MAST spray + black base,-,"450 Hz: 0.96 ± 0.22 (males/day,mean ± SEM), 500 Hz: 3.08 ± 0.68 (males/day), 550 Hz: 4.25 ± 0.86 (males/day), 600 Hz: 3.975 ± 0.88 (males/day), 650 Hz: 3.7 ± 0.99 (males/day), 700 Hz: 2.1 ± 0.52 (males/day)",24,-,,-,24 hrs,,,,
Ae. diantaeus,Aedes,diantaeus,Acoustic orientation of male Aedes diantaeus during mating,Apasov S.G.; Zhantiev R.D.; Tamarina N.A.; Fedorova M.V.,Parazitologiia,1986,https://pubmed.ncbi.nlm.nih.gov/2947032/,Male,Field,Pure tone,300-500,70-75 dB (5 cm in front of speaker),"5s tone, 2 min silence",Bending,,,Sounds with a frequency of 300 and 350 Hz attracted almost all swarming males within a radius of 1.5-2 m from the source. Response gradually decrease for frequencies > 350 Hz until completely no attraction at 500 Hz,,,,,,,,,
Ae. diantaeus,Aedes,diantaeus,Acoustic orientation of male Aedes diantaeus during mating,Apasov S.G.; Zhantiev R.D.; Tamarina N.A.; Fedorova M.V.,Parazitologiia,1986,https://pubmed.ncbi.nlm.nih.gov/2947032/,Male,Lab,Pure tone,"250, 270, 310, 320, 350, 375, 400, 415",64-65 dB (1 cm in front of speaker),"5s tone, 2 min silence",Attraction,NA,NA,"250: 8 (%), 270: 25, 310: 55, 320: 85, 350: 100, 375: 40, 400: 25, 415: 8",NA,10,Group,NA,NA,NA,NA,Virgin,NA
Ae. polynesiensis,Aedes,polynesiensis,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,2013,https://doi.org/10.1603/me13023,Male,Field,Pure tone,"440, 465",93 dB (2 cm in front of speaker),1h continuous sound emission,Attraction,"sound-baited, CDC miniature light trap / sound-baited BG-Sentinel trap (without odor lure)",trap with speaker but no sound played,"440 Hz: 1) CDC trap: 29 males/hr, 2) BGS trap: 26 males/hr; 465 Hz: 1) CDC trap: 20.8 males/hr",5,,,-,between 1645 and 1800 hours,,,,
An. gambiae,Anopheles,gambiae,Assessing the acoustic behaviour of Anopheles gambiae (s.l.) dsxF mutants: implications for vector control.,Su M.P.; Georgiades M.; Bagi J.; Kyrou K.; Crisanti A.; Albert J.T.,Parasites & Vectors,2020,https://doi.org/10.1186/s13071-020-04382-x,Male,Lab,Pure tone,"100, 380, 400, 431, 497, 700",NA,1 min ON/OFF,Attraction,NA,speaker without sound playback,"100 Hz: 10 ± 3 %, 400 Hz: 69 ± 18 %, 0 ± 1 %, 380 Hz: 75 ± 3 %, 432 Hz: 54 ± 3 %, 497 Hz: 20 ± 2 %,  (median ± SEM)",07-Mar,25,Group,28,ZT13,13 L: 11 D,5,Virgin,NA
An. stephensi,Anopheles,stephensi,Acoustic attraction of male mosquitos in a cage,Ikeshoji T.,Medical Entomology and Zoology,1981,https://doi.org/10.7601/mez.32.7,Male,Lab,Pure tone,423,10 dB ,"16 mins sounding, 48 times/day for 4-5 days",Attraction,sound trap,,9.2 % of males relative to females left in the cage after 4-5 days of acoustic extraction,100,,Group,25,-,14 L:10 D,,,
Ar. subalbatus,Armigeres,subalbatus,"Mosquitoes and frog-biting midges (Diptera: Culicidae and Corethrellidae) attracted to traps with natural frog calls and synthesized sounds at Iriomote Island, Ryukyu Archipelago, Japan",Toma T.; Takara T.; Miyagi I.; Futami K.; Higa Y.,Medical Entomology and Zoology,2019,https://doi.org/10.7601/mez.70.221,Female,Field,Mixed frog call,"Dominant frequency in spectrum of frog call sound, call duration, call rate (call/min) for 8 species of frogs: F. sakishimensis=1,037 Hz, 0.4 s, about 100; M. okinavensis 2,572 Hz, 0.5 s, 36; R. okinavana=1,283 Hz, 0.56 s, 23; R. owstoni=1,386 Hz, 3.45 s, 8; O. supranarina=3,864 Hz, 0.02 s, 22; K. eingeri=2,652 Hz, 0.15 s, 16; H. hallowellii=3,794 Hz, 0.29 s, 9; and B. japonica=3,194 Hz, 0.49 s, 19",62.4-80 dB (1m away from speaker),12 h,Attraction,CDC minature light trap + speaker,CDC miniature light trap (without speaker),4 females,,,,,7pm-7am,,,,
Cx. bitaeniorhynchus,Culex,bitaeniorhynchus,"Mosquitoes and frog-biting midges (Diptera: Culicidae and Corethrellidae) attracted to traps with natural frog calls and synthesized sounds at Iriomote Island, Ryukyu Archipelago, Japan",Toma T.; Takara T.; Miyagi I.; Futami K.; Higa Y.,Medical Entomology and Zoology,2019,https://doi.org/10.7601/mez.70.221,Female,Field,Pure tone,1000,62.4-80 dB (1m away from speaker),12 h,Attraction,CDC minature light trap + speaker,CDC miniature light trap (without speaker),11 females,,,,,7pm-7am,,,,
Cx. molestus,Culex,molestus,Acoustic attraction of male mosquitos in a cage,Ikeshoji T.,Medical Entomology and Zoology,1981,https://doi.org/10.7601/mez.32.7,Male,Lab,Pure tone,370,10 dB ,"17 mins sounding, 48 times/day for 4-5 days",Attraction,sound trap,,8.7 % of males relative to females were left in the cage after 4-5 days of acoustic extraction,100,,Group,25,-,14 L:10 D,,,
Cx. nigropunctatus,Culex,nigropunctatus,"Mosquitoes and frog-biting midges (Diptera: Culicidae and Corethrellidae) attracted to traps with natural frog calls and synthesized sounds at Iriomote Island, Ryukyu Archipelago, Japan",Toma T.; Takara T.; Miyagi I.; Futami K.; Higa Y.,Medical Entomology and Zoology,2019,https://doi.org/10.7601/mez.70.221,Female,Field,"Mixed frog call, Pure tone","Dominant frequency in spectrum of frog call sound, call duration, call rate (call/min) for 8 species of frogs: F. sakishimensis=1,037 Hz, 0.4 s, about 100; M. okinavensis 2,572 Hz, 0.5 s, 36; R. okinavana=1,283 Hz, 0.56 s, 23; R. owstoni=1,386 Hz, 3.45 s, 8; O. supranarina=3,864 Hz, 0.02 s, 22; K. eingeri=2,652 Hz, 0.15 s, 16; H. hallowellii=3,794 Hz, 0.29 s, 9; and B. japonica=3,194 Hz, 0.49 s, 19, 1000Hz Pure tone",62.4-80 dB (1m away from speaker),12 h,Attraction,CDC minature light trap + speaker,CDC miniature light trap (without speaker),"20 females, 8 females",,,,,7pm-7am,,,,
Cx. quinquefasciatus,Culex,quinquefasciatus,"Monitoring and Chemosterilization of a Mosquito Population, Culex quinquefasciatus (Diptera: Culicidae) by Sound Traps",Ikeshoji T.; Yap H.H.,Applied Entomology and Zoology,1987,https://doi.org/10.1303/aez.22.474,Male,Field,Pure tone,400,,20 min continuously,Attraction,sound trap + black cloth,-,"55.8 males/ trap, day",20,,,,dusk (50 mins after sunset),,,,
Cx. quinquefasciatus,Culex,quinquefasciatus,Outcomes from international field trials with Male Aedes Sound Traps: Frequency-dependent effectiveness in capturing target species in relation to bycatch abundance,Staunton K.M.; Leiva D.; Cruz A.; Goi J.; Arisqueta C.; Liu J.; Desnoyer M.; Howell P.; Espinosa F.; Mendoza A.C.; Karl S.; Crawford J.E.; Xiang W.; Manrique-Saide P.; Achee N.L.; Grieco J.P.; Ritchie S.A.; Burkot T.R.; Snoad N.,PLoS Neglected Tropical Diseases,2021,https://doi.org/10.1371/journal.pntd.0009061,Male,Field,Pure tone,"450, 500, 550, 600",60 dB (trap entrance),30s on/off continuously,Attraction,MAST sticky trap,BGS trap without sound,"450Hz: 24.34%, 500Hz: 20.94%, 550Hz: 0.88%, 600 Hz: 0 (total- male mosquitoes caught: 678)",-,-,,-,24 hrs,,,,
Cx. tarsalis,Culex,tarsalis,Age structure and mating status of the male mosquitoes responding to sound,Ikeshoji T.,Medical Entomology and Zoology,1985,https://doi.org/10.7601/mez.36.95,Male,Field,Pure tone,370 / 400,100 dB (0 cm away from speaker),continuous sound emission,Attraction,sound trap,-,240 males/day,-,-,,,dusk,,,,
Cx. tarsalis,Culex,tarsalis,Removal sampling of male mosquitoes from field populations by sound-trapping,Ikeshoji T.; Sakakibara M.; Reisen W.K.,Medical Entomology and Zoology,1985,https://doi.org/10.7601/mez.36.197,Male,Field,Pure tone,370,100 dB (0 cm away from speaker),5 s of sound with 15s intervals,Attraction,sound trap + black cloth,-,males collected: 98 - 100 % of total mosquitoes trapped,13,-,,,dusk,,,,
Cx. territans,Culex,territans,Phonotaxis to Amphibian Vocalizations in Culex territans (Diptera: Culicidae),Bartlett-Healy K.; Crans W.; Gaugler R.,Annals of the Entomological Society of America,2008,https://doi.org/10.1603/0013-8746(2008)101[95:PTAVIC]2.0.CO;2,Female,Field,"Frog call (Pseudacris crucifer, Hyla versicolor, Bufo americanus, Rana clamitans, Rana catesbeiana, Rana sylvatica)",,80 +/- 2 dB,15 min,Attraction,Sound trap,Trap without sound,"16.5 females, 12, 12, 11.5, 9.5, 8",,,Group,,,,7_8,,
Cx. tritaeniorhynchus,Culex,tritaeniorhynchus,Age structure and mating status of the male mosquitoes responding to sound,Ikeshoji T.,Medical Entomology and Zoology,1985,https://doi.org/10.7601/mez.36.95,Male,Field,Pure tone,370 / 400,100 dB (0 cm away from speaker),continuous sound emission,Attraction,sound trap,-,68 males/day,-,-,,,dusk,,,,
Cx. tritaeniorhynchus,Culex,tritaeniorhynchus,"Distribution of the mosquitoes, Culex tritaeniorhynchus, in relation to disposition of sound traps in a paddy field",Ikeshojji T.,Medical Entomology and Zoology,1986,https://doi.org/10.7601/mez.37.153,Male,Field,Pure tone,370,100-110 dB (0 cm away from speaker),20 mins repeated cycles of 6 secs of sound emission and 5 secs of silence,Attraction,sound trap + black cloth,-,"20,141 males captured in 11 days (147 males/day)",11,-,,,dusk (1940-2000 hrs),,,,
Cx. tritaeniorhynchus,Culex,tritaeniorhynchus,Field catching of mosquitoes with various types of sound traps,Ikeshoji T.; Ogawa K.,Medical Entomology and Zoology,1988,https://doi.org/10.7601/mez.39.119,Male,Field,Pure tone,400,90 dB (1 cm away from speaker),20 mins continuous stimulus,Attraction,sound trap,-,249.6 males/day,5,-,,,0.8125,,,,
Cx. tritaeniorhynchus,Culex,tritaeniorhynchus,Removal sampling of male mosquitoes from field populations by sound-trapping,Ikeshoji T.; Sakakibara M.; Reisen W.K.,Medical Entomology and Zoology,1985,https://doi.org/10.7601/mez.36.197,Male,Field,Pure tone,370,100 dB (0 cm away from speaker),5 s of sound with 15s intervals,Attraction,sound trap + black cloth,-,males collected: 86-99 % of total mosquitoes trapped,2,-,,,dusk,,,,
